name,url,price,description,image_urls
Women's Earring Aphidnae,https://www.glamira.com/womens-earring-aphidnae.html,$955.00,14K Yellow Gold & Lab Grown Diamond & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20102aphidnae/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow/pearl/white_pearl.jpg
Women's Earring Kamarang,https://www.glamira.com/womens-earring-kamarang.html,$901.00,14K Yellow Gold & Sapphire & White Sapphire & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20100kamarang/diamond/sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/pearl/white_pearl/accent/midnight-blue.jpg
GLAMIRAEarring Esrog,https://www.glamira.com/glamira-earring-esrog.html,$585.00,14K Rose & White Gold & Moissanite & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11146esrog/diamond/labdiamond_AAAA/alloycolour/red_white/pearl/white_pearl.jpg
GLAMIRAEarring Aleniniuqs,https://www.glamira.com/glamira-earring-aleniniuqs.html,$724.00,14K Yellow Gold & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/aleniniuqs-m/alloycolour/yellow/pearl/white_pearl.jpg
Women's Earring Aphidnae,https://www.glamira.com/womens-earring-aphidnae.html,$955.00,14K Yellow Gold & Lab Grown Diamond & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20102aphidnae/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow/pearl/white_pearl.jpg
Women's Earring Kamarang,https://www.glamira.com/womens-earring-kamarang.html,$901.00,14K Yellow Gold & Sapphire & White Sapphire & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20100kamarang/diamond/sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/pearl/white_pearl/accent/midnight-blue.jpg
GLAMIRAEarring Wynn,https://www.glamira.com/glamira-earring-wynn.html,"$5,483.00",14K Rose Gold & Moissanite & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/6781wynn/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/red/pearl/white_pearl.jpg
GLAMIRAEarring Traudel Ø8 mm,https://www.glamira.com/glamira-earring-traudel-o8-mm.html,$955.00,14K White Gold / Diamond & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/PER14-8/diamond/diamond-Brillant_AAA/alloycolour/white/pearl/white_pearl.jpg
GLAMIRAEarring Kaydlin Ø8 mm,https://www.glamira.com/glamira-earring-kaydlin-o8-mm.html,$690.00,14K Yellow Gold / Diamond & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/PRLE19-8/diamond/diamond-Brillant_AAA/alloycolour/yellow/pearl/white_pearl.jpg
GLAMIRAEarring Majori Ø10 mm,https://www.glamira.com/glamira-earring-majori-o10-mm.html,"$1,173.00",14K White Gold / Diamond & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/PER3-10/diamond/diamond-Brillant_AAA/alloycolour/white/pearl/white_pearl.jpg
GLAMIRAEarring Ammi Ø4 mm,https://www.glamira.com/glamira-earring-ammi-o4-mm.html,$766.00,14K Yellow Gold / Diamond & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/PER1-4/diamond/diamond-Brillant_AAA/alloycolour/yellow/pearl/white_pearl.jpg
GLAMIRAEarring Zemira,https://www.glamira.com/glamira-earring-zemira.html,$692.00,14K Yellow Gold & Diamond & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/PRLE25/diamond/diamond-Brillant_AAA/alloycolour/yellow/pearl/white_pearl.jpg
GLAMIRAEarring Vaticiner,https://www.glamira.com/glamira-earring-vaticiner.html,$493.00,14K Rose Gold & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/vaticiner/alloycolour/red/pearl/white_pearl.jpg
GLAMIRAEarring Zelotes,https://www.glamira.com/glamira-earring-zelotes.html,$807.00,14K Rose Gold & Ruby & Rose Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/PRLE26/diamond/ruby_AAA/alloycolour/red/pearl/red_pearl.jpg
GLAMIRAEarring Avery Ø6 mm,https://www.glamira.com/glamira-earring-avery-o6-mm.html,"$1,548.00",14K White Gold / Diamond & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ER15-6/diamond/diamond-Brillant_AAA/alloycolour/white/pearl/white_pearl.jpg
GLAMIRAEarring Chiot,https://www.glamira.com/glamira-earring-chiot.html,$762.00,14K Yellow Gold & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/chiot-e/alloycolour/yellow/pearl/white_pearl.jpg
GLAMIRAEarring Nouilles,https://www.glamira.com/glamira-earring-nouilles.html,$665.00,14K Rose Gold & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/nouilles-e/alloycolour/red/pearl/white_pearl.jpg
GLAMIRAEarring Faucheux,https://www.glamira.com/glamira-earring-faucheux.html,$676.00,14K Rose Gold & Moissanite & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/faucheux-1/diamond/labdiamond_AAAA/alloycolour/red/pearl/white_pearl.jpg
GLAMIRAEarring Nandag,https://www.glamira.com/glamira-earring-nandag.html,"$1,369.00",14K White Gold & Diamond & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/nandag-1/diamond/diamond-Brillant_AAA/alloycolour/white/pearl/white_pearl.jpg
GLAMIRAEarring Riva Ø4 mm,https://www.glamira.com/glamira-earring-riva-o4-mm.html,"$1,343.00",14K Rose Gold / Lab Grown Diamond & Rose Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/PER19-4/diamond/lab-grown-diamond_AAA/alloycolour/red/pearl/red_pearl.jpg
GLAMIRAEarring Karinita Ø6 mm,https://www.glamira.com/glamira-earring-karinita-o6-mm.html,$954.00,14K White Gold / Pink Sapphire & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/PRLE20-6/diamond/pinksapphire_AAA/alloycolour/white/pearl/white_pearl.jpg
GLAMIRAEarring Livia Ø10 mm,https://www.glamira.com/glamira-earring-livia-o10-mm.html,$932.00,14K White Gold / Black Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/PER8-10/alloycolour/white/pearl/black_pearl.jpg
