name,url,price,description,image_urls
Women's Necklace Podsen,https://www.glamira.com/womens-necklace-podsen.html,$463.00,14K Yellow Gold & Moissanite & Black Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20149-podsen/diamond/labdiamond_AAAA/alloycolour/yellow/pearl/black_pearl.jpg
GLAMIRAPendant Elbertina Ø8 mm,https://www.glamira.com/glamira-pendant-elbertina-o8-mm.html,$458.00,14K Rose Gold / Rose Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/PND4-8/alloycolour/red/pearl/red_pearl.jpg
GLAMIRANecklace Biecal,https://www.glamira.com/glamira-necklace-biecal.html,$746.00,14K Yellow Gold & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16985biecal/alloycolour/yellow/pearl/white_pearl.jpg
GLAMIRAPendant Rianna Ø8 mm,https://www.glamira.com/glamira-pendant-rianna-o8-mm.html,$560.00,14K White Gold / Rose Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/PND26-8/alloycolour/white/pearl/red_pearl.jpg
GLAMIRAPendant Arceau,https://www.glamira.com/glamira-pendant-arceau.html,$600.00,14K White Gold & Lab Grown Diamond & Rose Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/arceau/diamond/lab-grown-diamond_AAA/alloycolour/white/pearl/red_pearl.jpg
GLAMIRAPendant Gator,https://www.glamira.com/glamira-pendant-gator.html,$576.00,14K Yellow Gold & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gator-p/alloycolour/yellow/pearl/white_pearl/accent/white.jpg
GLAMIRAPendant Fabiola Ø4 mm,https://www.glamira.com/glamira-pendant-fabiola-o4-mm.html,$485.00,14K Yellow Gold / Emerald & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/PND32-4/diamond/emerald_AAA/alloycolour/yellow/pearl/white_pearl.jpg
GLAMIRAPendant Cannelletta,https://www.glamira.com/glamira-pendant-cannelletta.html,$546.00,14K White Gold & Moissanite & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/cannelletta/diamond/labdiamond_AAAA/alloycolour/white/pearl/white_pearl.jpg
GLAMIRAPendant Salteras,https://www.glamira.com/glamira-pendant-salteras.html,$921.00,14K White Gold / Lab Grown Diamond & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17563-salteras-p/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/stone3/lab-grown-diamond_AAA/alloycolour/white/pearl/white_pearl.jpg
GLAMIRAPendant Airelseh,https://www.glamira.com/glamira-pendant-airelseh.html,$376.00,14K Yellow Gold & Moissanite & Black Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17910airelseh/diamond/labdiamond_AAAA/alloycolour/yellow/pearl/black_pearl.jpg
GLAMIRAPendant Csalash,https://www.glamira.com/glamira-pendant-csalash.html,$474.00,14K Rose Gold & Brown Diamond & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/csalash-p/diamond/browndiamond_AAA/alloycolour/red/pearl/white_pearl.jpg
GLAMIRAPendant Leyonna Ø8 mm,https://www.glamira.com/glamira-pendant-leyonna-o8-mm.html,$769.00,14K Yellow Gold / Diamond & Black Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Leyonna8mm/diamond/diamond-Brillant_AAA/alloycolour/yellow/pearl/black_pearl.jpg
GLAMIRAPendant Genesis,https://www.glamira.com/glamira-pendant-genesis.html,$398.00,14K White Gold / Black Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/PND30-6/alloycolour/white/pearl/black_pearl.jpg
GLAMIRAPendant Vinny Ø10 mm,https://www.glamira.com/glamira-pendant-vinny-o10-mm.html,$867.00,14K White Gold / Diamond & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/PND3-10/diamond/diamond-Brillant_AAA/alloycolour/white/pearl/white_pearl.jpg
GLAMIRANecklace Flanina,https://www.glamira.com/glamira-necklace-flanina.html,$647.00,14K Yellow Gold & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16985flanina/alloycolour/yellow/pearl/white_pearl.jpg
GLAMIRAPendant Selia Ø4 mm,https://www.glamira.com/glamira-pendant-selia-o4-mm.html,$340.00,14K White Gold / White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/PND27-4/alloycolour/white/pearl/white_pearl.jpg
GLAMIRAPendant Katelind Ø8 mm,https://www.glamira.com/glamira-pendant-katelind-o8-mm.html,$867.00,14K White Gold / Diamond & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Katelind8mm/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white/pearl/white_pearl.jpg
