name,url,price,description,image_urls
GLAMIRARing Shimmer Ø8 mm,https://www.glamira.com/glamira-ring-shimmer-o8-mm.html,"$1,033.00",14K White Gold / Diamond & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/PL3-8/diamond/diamond-Brillant_AAA/alloycolour/white/pearl/white_pearl.jpg
GLAMIRARing Jolisa Ø8 mm,https://www.glamira.com/glamira-ring-jolisa-o8-mm.html,"$1,125.00",14K White Gold / Diamond & Rose Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/PL16-8/diamond/diamond-Brillant_AAA/alloycolour/white/pearl/red_pearl.jpg
GLAMIRARing Lorangelis Ø4 mm,https://www.glamira.com/glamira-ring-lorangelis-o4-mm.html,"$1,026.00",14K Yellow & White Gold / Lab Grown Diamond & Rose Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/PH24-4/diamond/lab-grown-diamond_AAA/alloycolour/yellow_white/pearl/red_pearl.jpg
GLAMIRARing Nixie Ø4 mm,https://www.glamira.com/glamira-ring-nixie-o4-mm.html,"$1,501.00",14K Rose Gold / Diamond & Rose Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/PL15-4/diamond/diamond-Brillant_AAA/alloycolour/red/pearl/red_pearl.jpg
GLAMIRARing Briny Ø10 mm,https://www.glamira.com/glamira-ring-briny-o10-mm.html,$983.00,14K White Gold / Diamond & Black Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/PL1-10/diamond/diamond-Brillant_AAA/alloycolour/white/pearl/black_pearl.jpg
GLAMIRARing Luxelina,https://www.glamira.com/glamira-ring-luxelina.html,"$1,040.00",14K White Gold / Yellow Sapphire & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/P22-6/diamond/yellow-sapphire_AAA/alloycolour/white/pearl/white_pearl.jpg
GLAMIRARing Lisenia Ø8 mm,https://www.glamira.com/glamira-ring-lisenia-o8-mm.html,$970.00,14K White Gold / Lab Grown Diamond & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/PH21-8/diamond/lab-grown-diamond_AAA/alloycolour/white/pearl/white_pearl.jpg
GLAMIRARing Leonna Ø6 mm,https://www.glamira.com/glamira-ring-leonna-o6-mm.html,$889.00,14K White Gold / Rose Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/PH36-6/alloycolour/white/pearl/red_pearl.jpg
GLAMIRARing Arkobi,https://www.glamira.com/glamira-ring-arkobi.html,$886.00,14K White Gold & Lab Grown Diamond & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17471arkobi/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/white/pearl/white_pearl.jpg
GLAMIRARing Sincereco,https://www.glamira.com/glamira-ring-sincereco.html,$687.00,14K Yellow Gold & Lab Grown Diamond & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/sincereco-es/diamond/lab-grown-diamond_AAA/alloycolour/yellow/pearl/white_pearl.jpg
GLAMIRARing Questa Ø10 mm,https://www.glamira.com/glamira-ring-questa-o10-mm.html,"$1,058.00",14K White Gold / Diamond & Black Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/PL22-10/diamond/diamond-Brillant_AAA/alloycolour/white/pearl/black_pearl.jpg
GLAMIRARing Levenia,https://www.glamira.com/glamira-ring-levenia.html,"$1,320.00",14K White Gold / Diamond & Rose Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/PL19-6/diamond/diamond-Brillant_AAA/alloycolour/white/pearl/red_pearl.jpg
