name,url,price,description,image_urls
GLAMIRABracelet Loirevalley,https://www.glamira.com/glamira-bracelet-loirevalley.html,$394.00,14K White Gold / Lab Grown Diamond & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/loirevalley-b-gb/diamond/lab-grown-diamond_AAA/alloycolour/white/pearl/white_pearl.jpg
GLAMIRABracelet Amazzi,https://www.glamira.com/glamira-bracelet-amazzi.html,$316.00,14K Yellow Gold & Lab Grown Diamond & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13307amazzi/diamond/lab-grown-diamond_AAA/alloycolour/yellow/pearl/white_pearl.jpg
GLAMIRAFinger Bracelet Mestura,https://www.glamira.com/glamira-finger-bracelet-mestura.html,$501.00,14K Yellow Gold & Lab Grown Diamond & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13342mestura/diamond/lab-grown-diamond_AAA/alloycolour/yellow/pearl/white_pearl.jpg
GLAMIRABracelet Ronquillo,https://www.glamira.com/glamira-bracelet-ronquillo.html,$328.00,14K White Gold / Lab Grown Diamond & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17563-ronquillo-b/diamond/lab-grown-diamond_AAA/alloycolour/white/pearl/white_pearl.jpg
Women's Earring Artemita,https://www.glamira.com/womens-earring-artemita.html,"$1,006.00",14K Yellow Gold & Lab Grown Diamond & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20102artemita/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow/pearl/white_pearl.jpg
GLAMIRAPendant Elbertina Ø8 mm,https://www.glamira.com/glamira-pendant-elbertina-o8-mm.html,$458.00,14K Rose Gold / Rose Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/PND4-8/alloycolour/red/pearl/red_pearl.jpg
GLAMIRANecklace Biecal,https://www.glamira.com/glamira-necklace-biecal.html,$746.00,14K Yellow Gold & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16985biecal/alloycolour/yellow/pearl/white_pearl.jpg
GLAMIRAPendant Rianna Ø8 mm,https://www.glamira.com/glamira-pendant-rianna-o8-mm.html,$560.00,14K White Gold / Rose Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/PND26-8/alloycolour/white/pearl/red_pearl.jpg
GLAMIRAEarring Leonisa Ø8 mm,https://www.glamira.com/glamira-earring-leonisa-o8-mm.html,$586.00,14K White Gold / Diamond & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/PRLE09-8/diamond/diamond-Brillant_AAA/alloycolour/white/pearl/white_pearl.jpg
GLAMIRAEarring Levonia Ø4 mm,https://www.glamira.com/glamira-earring-levonia-o4-mm.html,$449.00,14K White Gold / Diamond & Rose Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/PRLE06-4/diamond/diamond-Brillant_AAA/alloycolour/white/pearl/red_pearl.jpg
