name,url,price,description,image_urls
GLAMIRABracelet Extraordin,https://www.glamira.com/glamira-bracelet-extraordin.html,$327.00,14K Yellow Gold,"https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638extraordin/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638kolmio/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638rregalo/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510gleansach/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510miniri/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510rinna/alloycolour/yellow.jpg"
GLAMIRABracelet Kolmio,https://www.glamira.com/glamira-bracelet-kolmio.html,$391.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638kolmio/alloycolour/yellow.jpg
GLAMIRABracelet Rregalo,https://www.glamira.com/glamira-bracelet-rregalo.html,$334.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638rregalo/alloycolour/yellow.jpg
GLAMIRABracelet Gleansach,https://www.glamira.com/glamira-bracelet-gleansach.html,$335.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510gleansach/alloycolour/yellow.jpg
GLAMIRABracelet Miniri,https://www.glamira.com/glamira-bracelet-miniri.html,$351.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510miniri/alloycolour/yellow.jpg
GLAMIRACord Bracelet Rinna,https://www.glamira.com/glamira-cord-bracelet-rinna.html,$252.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510rinna/alloycolour/yellow.jpg
GLAMIRABracelet Bisatimoyuc,https://www.glamira.com/glamira-bracelet-bisatimoyuc.html,$434.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14126bisatimoyuc/alloycolour/white.jpg
GLAMIRABracelet Bibina,https://www.glamira.com/glamira-bracelet-bibina.html,$593.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/bibina/alloycolour/yellow.jpg
GLAMIRABracelet Bath,https://www.glamira.com/glamira-bracelet-bath.html,$307.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/8908bath/alloycolour/red.jpg
GLAMIRABracelet Rayet,https://www.glamira.com/glamira-bracelet-rayet.html,$538.00,14K Yellow & White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/rayet-u/alloycolour/yellow_white.jpg
GLAMIRABangle Montalto,https://www.glamira.com/glamira-bangle-montalto.html,$806.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/montalto-1/alloycolour/red.jpg
GLAMIRABracelet Achaia,https://www.glamira.com/glamira-bracelet-achaia.html,$527.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/achaia-b/alloycolour/white.jpg
GLAMIRABracelet Jovaphin,https://www.glamira.com/glamira-bracelet-jovaphin.html,$508.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14905jovaphin/alloycolour/yellow.jpg
GLAMIRABracelet Kutte,https://www.glamira.com/glamira-bracelet-kutte.html,"$1,967.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/kutte-b/alloycolour/yellow.jpg
GLAMIRABracelet Gardiner,https://www.glamira.com/glamira-bracelet-gardiner.html,$970.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gardiner-1/alloycolour/red.jpg
GLAMIRAPaperclip Quintet,https://www.glamira.com/glamira-paperclip-quintet.html,$858.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16176quintet/alloycolour/yellow.jpg
GLAMIRABracelet Esparza,https://www.glamira.com/glamira-bracelet-esparza.html,$902.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/esparza-b/alloycolour/yellow.jpg
GLAMIRAFinger Bracelet Madere,https://www.glamira.com/glamira-finger-bracelet-madere.html,$486.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/madere/alloycolour/yellow.jpg
GLAMIRABracelet Cyprus,https://www.glamira.com/glamira-bracelet-cyprus.html,$310.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/cyprus-c/alloycolour/white.jpg
GLAMIRABracelet Samenta,https://www.glamira.com/glamira-bracelet-samenta.html,$437.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/OEBL-019/alloycolour/white.jpg
GLAMIRABracelet Rarissime,https://www.glamira.com/glamira-bracelet-rarissime.html,$424.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12803rarissime/alloycolour/red.jpg
GLAMIRABracelet Aromo,https://www.glamira.com/glamira-bracelet-aromo.html,$479.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14905aromo/alloycolour/yellow.jpg
GLAMIRABracelet Pfeil,https://www.glamira.com/glamira-bracelet-pfeil.html,"$1,104.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/pfeil/alloycolour/yellow.jpg
GLAMIRABracelet Mable,https://www.glamira.com/glamira-bracelet-mable.html,"$1,490.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/mable/alloycolour/yellow.jpg
GLAMIRABracelet Swinub,https://www.glamira.com/glamira-bracelet-swinub.html,$879.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/swinub-b/alloycolour/white.jpg
GLAMIRABracelet Rigeste,https://www.glamira.com/glamira-bracelet-rigeste.html,$495.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/rigeste-b/alloycolour/yellow.jpg
GLAMIRABracelet Mujhe,https://www.glamira.com/glamira-bracelet-mujhe.html,"$1,344.00",14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/mujhe-b/alloycolour/red.jpg
GLAMIRABracelet Andreya,https://www.glamira.com/glamira-bracelet-andreya.html,$446.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/andreya1/alloycolour/yellow.jpg
GLAMIRABracelet Romanale,https://www.glamira.com/glamira-bracelet-romanale.html,$379.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Romanale/alloycolour/red.jpg
GLAMIRABracelet Maila,https://www.glamira.com/glamira-bracelet-maila.html,$487.00,14K Rose & White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/maila-b/alloycolour/red_white.jpg
GLAMIRABracelet Rosa,https://www.glamira.com/glamira-bracelet-rosa.html,$461.00,14K White & Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Rosa/alloycolour/white_red.jpg
GLAMIRABracelet Jalnire,https://www.glamira.com/glamira-bracelet-jalnire.html,$474.00,14K Yellow & White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Jalnire/alloycolour/yellow_white.jpg
GLAMIRABracelet Lwell,https://www.glamira.com/glamira-bracelet-lwell.html,$419.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14905lwell/alloycolour/yellow.jpg
GLAMIRABracelet Avaler,https://www.glamira.com/glamira-bracelet-avaler.html,$763.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/8908avaler/alloycolour/red.jpg
GLAMIRABracelet Delena,https://www.glamira.com/glamira-bracelet-delena.html,$839.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/8908delena/alloycolour/yellow.jpg
GLAMIRABracelet Erra,https://www.glamira.com/glamira-bracelet-erra.html,"$1,526.00",14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/8908erra/alloycolour/white.jpg
GLAMIRABracelet Gatling,https://www.glamira.com/glamira-bracelet-gatling.html,$945.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gatling-b/alloycolour/yellow.jpg
GLAMIRABracelet Sretno,https://www.glamira.com/glamira-bracelet-sretno.html,$461.00,14K Rose & White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Sretno-B/alloycolour/red_white.jpg
GLAMIRABracelet Bettina,https://www.glamira.com/glamira-bracelet-bettina.html,$619.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Bettina/alloycolour/yellow.jpg
GLAMIRABracelet Feign,https://www.glamira.com/glamira-bracelet-feign.html,$609.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14905feign/alloycolour/yellow/accent/black.jpg
GLAMIRABracelet Veracruz,https://www.glamira.com/glamira-bracelet-veracruz.html,$474.00,14K Yellow & White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Veracruz/alloycolour/yellow_white.jpg
GLAMIRABracelet Limunsudan,https://www.glamira.com/glamira-bracelet-limunsudan.html,$461.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Limunsudan/alloycolour/white.jpg
