name,url,price,description,image_urls
GLAMIRAEarring Haromy,https://www.glamira.com/glamira-earring-haromy.html,$339.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/haromy-e/alloycolour/yellow.jpg
GLAMIRAEarring Vian,https://www.glamira.com/glamira-earring-vian.html,$512.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Hagi-1/alloycolour/white.jpg
GLAMIRAEarring Ossein,https://www.glamira.com/glamira-earring-ossein.html,$454.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12114ossein/alloycolour/red/accent/black.jpg
GLAMIRAEarring Desastrella,https://www.glamira.com/glamira-earring-desastrella.html,$348.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/desastrella/alloycolour/white/accent/white.jpg
GLAMIRAEarring Alaniz,https://www.glamira.com/glamira-earring-alaniz.html,"$1,674.00",14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/alaniz/alloycolour/white.jpg
GLAMIRAEarring Chiekols,https://www.glamira.com/glamira-earring-chiekols.html,$289.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/chiekols-1/alloycolour/red.jpg
GLAMIRAEarring Avalon,https://www.glamira.com/glamira-earring-avalon.html,$364.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/avalon/alloycolour/yellow.jpg
GLAMIRAEarring Colotaire,https://www.glamira.com/glamira-earring-colotaire.html,$344.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/colotaire/alloycolour/yellow.jpg
GLAMIRAEarring Manara 25 mm,https://www.glamira.com/glamira-earring-manara-25-mm.html,$686.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Manara25MM/alloycolour/red.jpg
GLAMIRAEarring Strano,https://www.glamira.com/glamira-earring-strano.html,$474.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/strano/alloycolour/yellow.jpg
GLAMIRAEarring Miloserdiye,https://www.glamira.com/glamira-earring-miloserdiye.html,$416.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/miloserdiye-g/alloycolour/red.jpg
GLAMIRAEarring Varena,https://www.glamira.com/glamira-earring-varena.html,$588.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/varena/alloycolour/yellow.jpg
GLAMIRAEarring Deprimant,https://www.glamira.com/glamira-earring-deprimant.html,$459.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/deprimant/alloycolour/yellow.jpg
GLAMIRAEarring Demarde,https://www.glamira.com/glamira-earring-demarde.html,$336.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/demarde-1/alloycolour/yellow.jpg
GLAMIRAEarring Looplab,https://www.glamira.com/glamira-earring-looplab.html,$423.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/looplab-e1/alloycolour/yellow.jpg
GLAMIRAEarring Coerci,https://www.glamira.com/glamira-earring-coerci.html,$284.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/coerci-1/alloycolour/white.jpg
