name,url,price,description,image_urls
GLAMIRANecklace Fidela,https://www.glamira.com/glamira-necklace-fidela.html,$405.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/fidela/alloycolour/yellow.jpg
GLAMIRAPendant Cruzar,https://www.glamira.com/glamira-pendant-cruzar.html,$419.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/WSP-9/alloycolour/yellow.jpg
GLAMIRAPendant Nork,https://www.glamira.com/glamira-pendant-nork.html,$377.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11006nork/alloycolour/yellow.jpg
GLAMIRAPendant Macey,https://www.glamira.com/glamira-pendant-macey.html,$470.00,14K Yellow & White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/OEPD-069/alloycolour/yellow_white.jpg
GLAMIRAPendant Chachai,https://www.glamira.com/glamira-pendant-chachai.html,$312.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/WSP-065/alloycolour/yellow.jpg
GLAMIRAPendant Puttalam,https://www.glamira.com/glamira-pendant-puttalam.html,$324.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/puttalam/alloycolour/white.jpg
GLAMIRANecklace Nekanecno,https://www.glamira.com/glamira-necklace-nekanecno.html,$419.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/WSP-38/alloycolour/white.jpg
GLAMIRAPendant Whirr,https://www.glamira.com/glamira-pendant-whirr.html,$436.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/whirr-n/alloycolour/yellow.jpg
GLAMIRAPendant Marva R,https://www.glamira.com/glamira-pendant-marva-r.html,$412.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/marva-r/alloycolour/white.jpg
GLAMIRANecklace Lucky Number 777,https://www.glamira.com/glamira-necklace-lucky-number-777.html,$480.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12113lucky-777/alloycolour/yellow.jpg
GLAMIRANecklace Meepo,https://www.glamira.com/glamira-necklace-meepo.html,$502.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11006meepo/alloycolour/red.jpg
GLAMIRAPendant Cleo,https://www.glamira.com/glamira-pendant-cleo.html,$601.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/cleo1/alloycolour/white.jpg
GLAMIRAPendant Antondh,https://www.glamira.com/glamira-pendant-antondh.html,$391.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/8391antondh/alloycolour/white.jpg
GLAMIRANecklace Vers,https://www.glamira.com/glamira-necklace-vers.html,$523.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/vers-n/alloycolour/yellow/accent/dark-green.jpg
GLAMIRAPendant Sibyl M,https://www.glamira.com/glamira-pendant-sibyl-m.html,$407.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/sibyl-m/alloycolour/yellow.jpg
GLAMIRANecklace Dahuna,https://www.glamira.com/glamira-necklace-dahuna.html,$358.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/dahuna1/alloycolour/white.jpg
GLAMIRANecklace Libelula,https://www.glamira.com/glamira-necklace-libelula.html,$510.00,14K Rose & White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/WSP-30/alloycolour/red_white.jpg
GLAMIRAPendant Hexag,https://www.glamira.com/glamira-pendant-hexag.html,$398.00,14K Yellow Gold,"https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638hexag/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638mipira/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638bract/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638ihme/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638cullen/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638heksagoni/alloycolour/yellow.jpg"
GLAMIRAPendant Mipira,https://www.glamira.com/glamira-pendant-mipira.html,$391.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638mipira/alloycolour/yellow.jpg
GLAMIRAPendant Bract,https://www.glamira.com/glamira-pendant-bract.html,$391.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638bract/alloycolour/yellow.jpg
GLAMIRANecklace Ihme,https://www.glamira.com/glamira-necklace-ihme.html,$358.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638ihme/alloycolour/yellow.jpg
GLAMIRANecklace Cullen,https://www.glamira.com/glamira-necklace-cullen.html,$429.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638cullen/alloycolour/yellow.jpg
GLAMIRAPendant Heksagoni,https://www.glamira.com/glamira-pendant-heksagoni.html,$391.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638heksagoni/alloycolour/yellow.jpg
GLAMIRANecklace Guyana,https://www.glamira.com/glamira-necklace-guyana.html,$416.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/guyana/alloycolour/yellow.jpg
GLAMIRAPendant Byrneas,https://www.glamira.com/glamira-pendant-byrneas.html,$677.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16625byrneas/alloycolour/yellow/accent/black.jpg
GLAMIRAPendant Esmerelda,https://www.glamira.com/glamira-pendant-esmerelda.html,$312.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/OEPD-055/alloycolour/yellow.jpg
GLAMIRAPendant Nickie,https://www.glamira.com/glamira-pendant-nickie.html,$432.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/nickie-new/alloycolour/yellow/accent/black.jpg
GLAMIRAPendant Fast,https://www.glamira.com/glamira-pendant-fast.html,$413.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/fast/alloycolour/yellow.jpg
GLAMIRAPendant Trint,https://www.glamira.com/glamira-pendant-trint.html,$390.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/trint/alloycolour/yellow.jpg
GLAMIRAPendant Greet,https://www.glamira.com/glamira-pendant-greet.html,$403.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/greet1/alloycolour/red.jpg
GLAMIRAPendant Pelo,https://www.glamira.com/glamira-pendant-pelo.html,$644.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/WSP-44/alloycolour/yellow.jpg
GLAMIRAPendant Koons,https://www.glamira.com/glamira-pendant-koons.html,$398.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/koons1/alloycolour/yellow.jpg
GLAMIRAPendant Etoilse,https://www.glamira.com/glamira-pendant-etoilse.html,$344.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12235etoilse/alloycolour/white/accent/black.jpg
GLAMIRANecklace Alanza,https://www.glamira.com/glamira-necklace-alanza.html,$657.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/WSN-4/alloycolour/yellow.jpg
GLAMIRAPendant Dabirc,https://www.glamira.com/glamira-pendant-dabirc.html,$439.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/dabirc-p/alloycolour/yellow.jpg
GLAMIRAPendant Widdy,https://www.glamira.com/glamira-pendant-widdy.html,$957.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14892widdy/alloycolour/white.jpg
GLAMIRAPendant Baseerat,https://www.glamira.com/glamira-pendant-baseerat.html,$498.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/baseerat-p/alloycolour/red.jpg
GLAMIRAPendant Eellie,https://www.glamira.com/glamira-pendant-eellie.html,$318.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/eellie-p/alloycolour/red.jpg
GLAMIRAPendant Coolie,https://www.glamira.com/glamira-pendant-coolie.html,$599.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/coolie/alloycolour/white.jpg
GLAMIRAPendant Marva A,https://www.glamira.com/glamira-pendant-marva-a.html,$412.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/marva-a/alloycolour/yellow.jpg
GLAMIRAPendant Miresea,https://www.glamira.com/glamira-pendant-miresea.html,$415.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11006miresea/alloycolour/white.jpg
GLAMIRAPendant Caldion,https://www.glamira.com/glamira-pendant-caldion.html,$391.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/caldion/alloycolour/red.jpg
