name,url,price,description,image_urls
GLAMIRAStackable Ring Fatint - B,https://www.glamira.com/glamira-stackable-ring-fatint-b.html,$285.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13622fatint-b/alloycolour/white/accent/black.jpg
GLAMIRARing Bavegels - A,https://www.glamira.com/glamira-ring-bavegels-a.html,$351.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/bavegels-a-n/alloycolour/yellow.jpg
GLAMIRARing Campania,https://www.glamira.com/glamira-ring-campania.html,$425.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14272ysra/alloycolour/yellow.jpg
GLAMIRARing Burya,https://www.glamira.com/glamira-ring-burya.html,$370.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/burya-g/alloycolour/yellow.jpg
GLAMIRARing Lutande,https://www.glamira.com/glamira-ring-lutande.html,$323.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19655-lutande/alloycolour/yellow.jpg
GLAMIRARing Cynaras,https://www.glamira.com/glamira-ring-cynaras.html,$479.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9364cynaras1/alloycolour/yellow.jpg
GLAMIRARing Quinze,https://www.glamira.com/glamira-ring-quinze.html,$655.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/quinze-r/alloycolour/yellow.jpg
GLAMIRARing Bello,https://www.glamira.com/glamira-ring-bello.html,$334.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/5862bello/alloycolour/yellow.jpg
GLAMIRARing Bergthora,https://www.glamira.com/glamira-ring-bergthora.html,$390.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12934bergthora/alloycolour/yellow.jpg
GLAMIRARing Ivette,https://www.glamira.com/glamira-ring-ivette.html,$563.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/or-ivette1u1/alloycolour/red-585.jpg
GLAMIRAStackable Ring Afin - B,https://www.glamira.com/glamira-stackable-ring-afin-b.html,$411.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14181afin-b/alloycolour/yellow.jpg
GLAMIRARing Bunche,https://www.glamira.com/glamira-ring-bunche.html,$395.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9364bunche/alloycolour/white.jpg
GLAMIRARing Lepore,https://www.glamira.com/glamira-ring-lepore.html,$934.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9369lepore/alloycolour/red.jpg
GLAMIRARing Teena,https://www.glamira.com/glamira-ring-teena.html,$996.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/teena-r/alloycolour/yellow.jpg
GLAMIRARing Lose,https://www.glamira.com/glamira-ring-lose.html,$537.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/WSR-3U/alloycolour/white.jpg
GLAMIRARing Veux,https://www.glamira.com/glamira-ring-veux.html,$358.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/veux-r/alloycolour/yellow.jpg
GLAMIRAStackable Ring Fect - C,https://www.glamira.com/glamira-stackable-ring-fect-c.html,$301.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13622fect-c/alloycolour/yellow.jpg
GLAMIRARing Fablet,https://www.glamira.com/glamira-ring-fablet.html,$590.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/fablet-r/alloycolour/yellow.jpg
GLAMIRARing Belote,https://www.glamira.com/glamira-ring-belote.html,"$1,012.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/5862belote11/alloycolour/yellow.jpg
GLAMIRARing Molique,https://www.glamira.com/glamira-ring-molique.html,$323.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/WSR-59/alloycolour/yellow.jpg
GLAMIRARing Kalesino,https://www.glamira.com/glamira-ring-kalesino.html,$378.00,14K White & Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Kalesino/alloycolour/white_red.jpg
GLAMIRARing Atoraw,https://www.glamira.com/glamira-ring-atoraw.html,$449.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15352atoraw/alloycolour/red.jpg
