name,url,price,description,image_urls
Wedding Ring Pretty Bund Pair,https://www.glamira.com/glamira-ring-pretty-bund-pair.html,"$1,254.00",14K Yellow Gold & Zirconia,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/pretty-bund-pair-v/womenstone/diamond-zirconia_AAAAA/alloycolour/yellow/accent/black.jpg
Engagement Ring Guerino,https://www.glamira.com/glamira-ring-guerino.html,"$1,667.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/6681guerino/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
Engagement Ring Modesta,https://www.glamira.com/glamira-ring-modesta.html,$691.00,14K White Gold & Rose Quartz,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/modesta-nr/diamond/rose-quartz_AAA/alloycolour/white.jpg
GLAMIRARing Bikyu,https://www.glamira.com/glamira-ring-bikyu.html,$519.00,14K White Gold & Pink Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/bikyu-v/diamond/pinksapphire_AAA/alloycolour/white.jpg
GLAMIRARing Angelina,https://www.glamira.com/glamira-ring-angelina.html,$636.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/G100590/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRARing Lamiyye,https://www.glamira.com/glamira-ring-lamiyye.html,$698.00,14K White & Rose Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/lamisil-r/diamond/diamond-Brillant_AAA/alloycolour/white_red.jpg
GLAMIRAMen's Ring Pineiro,https://www.glamira.com/glamira-men-s-ring-pineiro.html,"$1,081.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/7270-pineiro/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
Wedding Ring Classic Destiny 4mm,https://www.glamira.com/classic-destiny-4mm.html,"$1,535.00",14K Yellow Gold / Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/GWD18440/womenstone/diamond-Brillant_AAA/alloycolour/yellow/width/w4/profile/prB/surface/polished.jpg
Engagement Ring Danitacsa,https://www.glamira.com/glamira-ring-danitacsa.html,$808.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9624danitacsa/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRARing Julee,https://www.glamira.com/glamira-ring-julee.html,$597.00,14K White Gold & Ruby,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/julee/diamond/ruby_AAA/alloycolour/white.jpg
GLAMIRAMen's Ring Couchelle,https://www.glamira.com/glamira-men-s-ring-couchelle.html,$973.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/6747couchelle/alloycolour/yellow.jpg
GLAMIRARing Lexina,https://www.glamira.com/glamira-ring-lexina.html,$510.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/lexina-nr/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
Wedding Ring Pretty Pulse Pair,https://www.glamira.com/glamira-ring-pretty-pulse-pair.html,"$1,608.00",14K White & Yellow Gold  & Zirconia,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/pretty-pulse-pair-v/womenstone/diamond-zirconia_AAAAA/alloycolour/white_yellow.jpg
GLAMIRARing Tamriel,https://www.glamira.com/glamira-ring-tamriel.html,"$1,815.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/tamriel-n/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRARing Sharalyn,https://www.glamira.com/glamira-ring-sharalyn.html,$758.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Sharalyn/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
Wedding Ring Pretty One Pair,https://www.glamira.com/glamira-ring-pretty-one-pair.html,"$2,241.00",14K Red Gold with Black Rhodium & Zirconia,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/pretty-one-pair-v/womenstone/diamond-zirconia_AAAAA/alloycolour/red.jpg
Engagement Ring Edoarda,https://www.glamira.com/glamira-ring-edoarda.html,$672.00,14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/edoarda-n/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRARing Masdevalia,https://www.glamira.com/glamira-ring-masdevalia.html,"$1,649.00",14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Masdevalia/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/yellow.jpg
Wedding Ring Pretty Lovegun Pair,https://www.glamira.com/glamira-ring-pretty-lovegun-pair.html,$991.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/pretty-lovegun-pair-v/alloycolour/yellow.jpg
GLAMIRARing Rondek B,https://www.glamira.com/glamira-ring-rondek-b.html,$911.00,14K Rose Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/rondekb-n/diamond/lab-grown-diamond_AAA/alloycolour/red.jpg
GLAMIRAMen's Ring Ciprian,https://www.glamira.com/glamira-men-s-ring-ciprian.html,"$1,145.00",14K White Gold & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ciprian/diamond/blackdiamond_AAA/alloycolour/white.jpg
Engagement Ring Margalit,https://www.glamira.com/glamira-ring-margalit.html,"$1,453.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/margalit-n/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRAMen's Ring Komala,https://www.glamira.com/glamira-men-s-ring-komala.html,"$1,411.00",14K Yellow Gold & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/komala-mr/diamond/blackdiamond_AAA/alloycolour/yellow.jpg
GLAMIRARing Jong,https://www.glamira.com/glamira-ring-jong.html,$430.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/jong-r/alloycolour/yellow.jpg
GLAMIRARing Pleasant Luck SET,https://www.glamira.com/glamira-ring-pleasant-luck-set.html,"$1,265.00",14K Yellow Gold & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/pleasant-luck/womenstone/diamond-Swarovsky_AAAAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/yellow/accent/black.jpg
GLAMIRARing Monalisa,https://www.glamira.com/glamira-ring-monalisa.html,$955.00,14K White & Rose Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/monalisav1/diamond/lab-grown-diamond_AAA/alloycolour/white_red.jpg
Engagement Ring Jayendra,https://www.glamira.com/glamira-ring-jayendra.html,"$1,361.00",14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/jayendra/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRARing Dylis,https://www.glamira.com/glamira-ring-dylis.html,$862.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Dylis/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRARing Redfern,https://www.glamira.com/glamira-ring-redfern.html,"$1,472.00",14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/redfern-r/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRARing Pleasant Cloud SET,https://www.glamira.com/glamira-ring-pleasant-cloud-set.html,"$1,465.00",14K Yellow Gold & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/pleasant-cloud/womenstone/diamond-Swarovsky_AAAAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/yellow.jpg
Engagement Ring Brutna,https://www.glamira.com/glamira-ring-brutna.html,$522.00,14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/brutna/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/white.jpg
Wedding Ring Bright Pattern 4 mm,https://www.glamira.com/bright-pattern-4-mm.html,"$1,575.00",14K White Gold / Zirconia,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gwd-l-4400/womenstone/diamond-zirconia_AAAAA/alloycolour/white/width/w4/profile/prA/surface/polished_icematte.jpg
Engagement Ring Nina,https://www.glamira.com/glamira-ring-nina.html,"$6,345.00",14K Rose & White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/nina076-n/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/red_white.jpg
GLAMIRARing Eldora,https://www.glamira.com/glamira-ring-eldora.html,$865.00,14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/R7G/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRARing Dossly,https://www.glamira.com/glamira-ring-dossly.html,$669.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/dossly-r/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRARing Sonnett,https://www.glamira.com/glamira-ring-sonnett.html,"$1,960.00",14K White Gold & Pink Sapphire & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/sonnett/diamond/pinksapphire_AA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
Engagement Ring Misery,https://www.glamira.com/glamira-ring-misery.html,"$1,121.00",14K White & Rose Gold & Blue Zircon,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/misery-u/diamond/blue-zirconia_AAA/alloycolour/white_red.jpg
GLAMIRARing Hosley,https://www.glamira.com/glamira-ring-hosley.html,$926.00,14K White Gold & Green Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/hosley-r/diamond/greendiamond_A/alloycolour/white.jpg
GLAMIRARing Cute Sleek SET,https://www.glamira.com/glamira-ring-cute-sleek-set.html,"$2,420.00",14K Yellow Gold & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/cute-sleek/womenstone/diamond-Swarovsky_AAAAA/alloycolour/yellow.jpg
GLAMIRAMen's Ring Plante,https://www.glamira.com/glamira-men-s-ring-plante.html,"$1,082.00",14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/7270-plante/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
Engagement Ring Dorotea 0.5 crt,https://www.glamira.com/glamira-ring-dorotea-0-5-crt.html,$886.00,14K Yellow Gold / Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/dorotea05-n/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRARing Wesyi,https://www.glamira.com/glamira-ring-wesyi.html,$513.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/wesyi-v/alloycolour/yellow.jpg
GLAMIRARing Begonia,https://www.glamira.com/glamira-ring-begonia.html,"$1,180.00",14K White & Rose Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/GLNR50V1/diamond/diamond-Brillant_AAA/alloycolour/white_red.jpg
Engagement Ring Ersilia,https://www.glamira.com/glamira-ring-ersilia.html,$859.00,14K White Gold / Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ersilia-n/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRAMen's Ring Silent Approval,https://www.glamira.com/glamira-men-s-ring-silent-approval.html,"$1,803.00",14K White Gold & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/men9-new/diamond/blackdiamond_AAA/alloycolour/white.jpg
Wedding Ring Pretty Spark Pair,https://www.glamira.com/glamira-ring-pretty-spark-pair.html,"$1,395.00",14K White Gold & Zirconia,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/pretty-spark-pair-v/womenstone/diamond-zirconia_AAAAA/alloycolour/white/accent/black.jpg
Engagement Ring Ashwin,https://www.glamira.com/glamira-ring-ashwin.html,"$1,311.00",14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ashwin/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRARing Magaret,https://www.glamira.com/glamira-ring-magaret.html,$578.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9369magaret/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRARing Lannie,https://www.glamira.com/glamira-ring-lannie.html,"$3,464.00",14K Rose Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9369lannie/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/red.jpg
Engagement Ring Netanel,https://www.glamira.com/glamira-ring-netanel.html,$905.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/netanel-r/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/yellow.jpg
Engagement Ring Loredana,https://www.glamira.com/glamira-ring-loredana.html,$672.00,14K Rose Gold / Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/nlp038/diamond/lab-grown-diamond_AAA/alloycolour/red.jpg
Engagement Ring Lyth,https://www.glamira.com/glamira-ring-lyth.html,$803.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/lyth-r/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg
