name,url,price,description,image_urls
GLAMIRANecklace Karep,https://www.glamira.com/glamira-necklace-karep.html,"$2,728.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/karep-l/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Khusel,https://www.glamira.com/glamira-earring-khusel.html,$793.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/khusel-l12/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRANecklace Pahviks,https://www.glamira.com/glamira-necklace-pahviks.html,$927.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/pahviks-l/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRANecklace Ruwa,https://www.glamira.com/glamira-necklace-ruwa.html,"$2,544.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ruwa-l/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Seimbang,https://www.glamira.com/glamira-earring-seimbang.html,"$1,580.00",14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/seimbang-l/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRAEarring Volnas,https://www.glamira.com/glamira-earring-volnas.html,"$3,308.00",14K Yellow Gold & Black Sapphire & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/volnas-l/diamond/black-sapphire_AAA/stone2/diamond-sapphire_AAA/stone3/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAHair Clip Amidral,https://www.glamira.com/glamira-hair-clip-amidral.html,"$1,593.00",14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9668amidral/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRANecklace Behdaung,https://www.glamira.com/glamira-necklace-behdaung.html,$880.00,14K White Gold & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9668behdaung/diamond/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRANecklace Kahannie,https://www.glamira.com/glamira-necklace-kahannie.html,"$1,561.00",14K Rose Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9668kahannie/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/red.jpg
GLAMIRAPendant Kersia,https://www.glamira.com/glamira-pendant-kersia.html,"$1,037.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9668kersia/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRANecklace Cairan,https://www.glamira.com/glamira-necklace-cairan.html,"$2,606.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/cairan-1/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRAPalm Cuff Cheaeg,https://www.glamira.com/glamira-palm-cuff-cheaeg.html,"$1,077.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/cheaeg-1/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRABracelet Equilibriu,https://www.glamira.com/glamira-bracelet-equilibriu.html,"$1,205.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/equilibriu-1/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRABracelet Fluido,https://www.glamira.com/glamira-bracelet-fluido.html,"$1,286.00",14K Rose Gold & Black Sapphire & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/fluido-1/diamond/black-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/red.jpg
GLAMIRANecklace Zandaka,https://www.glamira.com/glamira-necklace-zandaka.html,"$1,185.00",14K Rose Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/zandaka-1/diamond/lab-grown-diamond_AAA/alloycolour/red.jpg
GLAMIRABangle Puuwai,https://www.glamira.com/glamira-bangle-puuwai.html,"$4,335.00",14K Rose Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/puuwai-1/diamond/lab-grown-diamond_AAA/alloycolour/red.jpg
GLAMIRANecklace Srdce,https://www.glamira.com/glamira-necklace-srdce.html,"$4,719.00",14K Rose Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/srdce-1/diamond/lab-grown-diamond_AAA/alloycolour/red.jpg
GLAMIRABangle Taieki,https://www.glamira.com/glamira-bangle-taieki.html,"$4,638.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/taieki-1/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRANecklace Behergen,https://www.glamira.com/glamira-necklace-behergen.html,"$3,119.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/behergen-1/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg
