name,url,price,description,image_urls
Women's Earring Marsabit - B,https://www.glamira.com/womens-earring-marsabit-b.html,$444.00,14K Yellow Gold / White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20102marsabit-b/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Earring Kaiete,https://www.glamira.com/womens-earring-kaiete.html,$852.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20100kaiete/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Earring Kalkuni,https://www.glamira.com/womens-earring-kalkuni.html,"$1,418.00",14K Yellow Gold & White Sapphire & Ruby,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20100kalkuni/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/stone3/ruby_AAA/alloycolour/yellow/accent/fiery_red.jpg
Women's Earring Kama,https://www.glamira.com/womens-earring-kama.html,$509.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20100kama/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Earring Kamares,https://www.glamira.com/womens-earring-kamares.html,$555.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20100kamares/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Earring Kameiros,https://www.glamira.com/womens-earring-kameiros.html,"$1,669.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20100kameiros/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/stone3/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Earring Kamikusa,https://www.glamira.com/womens-earring-kamikusa.html,"$1,305.00",14K Yellow Gold & Emerald & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20100kamikusa/diamond/emerald_AAA/stone2/diamond-sapphire_AAA/stone3/diamond-sapphire_AAA/alloycolour/yellow/accent/amazon.jpg
Women's Earring Kannia,https://www.glamira.com/womens-earring-kannia.html,$597.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20100kannia/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Earring Koforidua,https://www.glamira.com/womens-earring-koforidua.html,$945.00,14K White & Yellow Gold  & Ruby & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20100koforidua/diamond/ruby_AAA/stone2/diamond-sapphire_AAA/alloycolour/white_yellow/accent/fiery_red.jpg
Women's Earring Kontagora,https://www.glamira.com/womens-earring-kontagora.html,$837.00,14K Yellow Gold & Emerald & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20100kontagora/diamond/emerald_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/accent/amazon.jpg
