name,url,price,description,image_urls
Women's Necklace Naivasha,https://www.glamira.com/womens-necklace-naivasha.html,$745.00,14K Yellow Gold & Emerald & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20102naivasha/diamond/emerald_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/accent/amazon.jpg
Women's Necklace Philosophic,https://www.glamira.com/womens-necklace-philosophic.html,$991.00,14K White Gold & Sapphire & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20102philosophic/diamond/sapphire_AAA/stone2/diamond-sapphire_AAA/stone3/diamond-sapphire_AAA/alloycolour/white/accent/midnight-blue.jpg
Women's Necklace Dominant,https://www.glamira.com/womens-necklace-dominant.html,$524.00,14K White Gold & Sapphire & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20102dominant/diamond/sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/white/accent/white.jpg
Women's Necklace Dominate,https://www.glamira.com/womens-necklace-dominate.html,$725.00,14K White Gold & White Sapphire & Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20102dominate/diamond/diamond-sapphire_AAA/stone2/sapphire_AAA/alloycolour/white/accent/midnightblue_white.jpg
Women's Necklace Akroinon,https://www.glamira.com/womens-necklace-akroinon.html,$599.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20102akroinon/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Necklace Altevatnet,https://www.glamira.com/womens-necklace-altevatnet.html,$590.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20102altevatnet/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Necklace Amaseia,https://www.glamira.com/womens-necklace-amaseia.html,"$1,034.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20102amaseia/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Necklace Apamea,https://www.glamira.com/womens-necklace-apamea.html,$630.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20102apamea/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/stone3/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Necklace Artanes,https://www.glamira.com/womens-necklace-artanes.html,"$1,327.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20102artanes/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/stone3/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Necklace Belfast,https://www.glamira.com/womens-necklace-belfast.html,$799.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20102belfast/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/stone3/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Pendant Deduce,https://www.glamira.com/womens-pendant-deduce.html,$766.00,14K White Gold & White Sapphire & Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20102deduce/diamond/diamond-sapphire_AAA/stone2/sapphire_AAA/alloycolour/white/accent/midnightblue_white.jpg
Women's Pendant Deducible,https://www.glamira.com/womens-pendant-deducible.html,$632.00,14K White Gold & White Sapphire & Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20102deducible/diamond/diamond-sapphire_AAA/stone2/sapphire_AAA/alloycolour/white/accent/midnightblue_white.jpg
Women's Necklace Deduction,https://www.glamira.com/womens-necklace-deduction.html,$534.00,14K White Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20102deduction/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/white/accent/midnight-blue.jpg
Women's Necklace Guitane,https://www.glamira.com/womens-necklace-guitane.html,$905.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20102guitane/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Necklace Lamu,https://www.glamira.com/womens-necklace-lamu.html,"$1,638.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20102lamu/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
