name,url,price,description,image_urls
GLAMIRARing Bersinar,https://www.glamira.com/glamira-ring-bersinar.html,"$1,752.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12555bersinar/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow/accent/neon-green.jpg
GLAMIRARing Magnesia,https://www.glamira.com/glamira-ring-magnesia.html,"$1,557.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12491magnesia/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow/accent/neon-blue.jpg
GLAMIRARing Lepas,https://www.glamira.com/glamira-ring-lepas.html,$553.00,14K Yellow Gold with Black Rhodium & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12491lepas/diamond/blackdiamond_AAA/stone2/blackdiamond_AAA/alloycolour/yellow.jpg
GLAMIRARing Kganya,https://www.glamira.com/glamira-ring-kganya.html,$688.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12491kganya/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow/accent/neon-orange.jpg
GLAMIRARing Galatia,https://www.glamira.com/glamira-ring-galatia.html,"$1,284.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12491galatia1/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/stone3/lab-grown-diamond_AAA/alloycolour/yellow/accent/neon-blue.jpg
GLAMIRARing Faro,https://www.glamira.com/glamira-ring-faro.html,"$1,111.00",14K Yellow Gold with Black Rhodium & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12491faro/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRARing Eyelash,https://www.glamira.com/glamira-ring-eyelash.html,$716.00,14K Yellow Gold with Black Rhodium & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12491eyelash1/diamond/blackdiamond_AAA/stone2/blackdiamond_AAA/alloycolour/yellow.jpg
GLAMIRARing Elegancki,https://www.glamira.com/glamira-ring-elegancki.html,$928.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12491elegancki/diamond/lab-grown-diamond_AAA/alloycolour/yellow/accent/neon-blue.jpg
GLAMIRARing Effeho,https://www.glamira.com/glamira-ring-effeho.html,$936.00,14K Yellow Gold with Black Rhodium & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12491effeho/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRARing Dotote,https://www.glamira.com/glamira-ring-dotote.html,$847.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12491dotote/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow/accent/neon-orange.jpg
GLAMIRARing Akroenos,https://www.glamira.com/glamira-ring-akroenos.html,"$1,524.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12555akroenos/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow/accent/neon-purple.jpg
GLAMIRARing Silenciokl,https://www.glamira.com/glamira-ring-silenciokl.html,$834.00,14K Yellow Gold with Black Rhodium & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12555silenciokl/diamond/blackdiamond_AAA/stone2/blackdiamond_AAA/alloycolour/yellow.jpg
GLAMIRARing Mundo,https://www.glamira.com/glamira-ring-mundo.html,"$1,129.00",14K Yellow Gold with Black Rhodium & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12555mundo/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRARing Lykia,https://www.glamira.com/glamira-ring-lykia.html,"$1,385.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12555lykia/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow/accent/neon-blue.jpg
