name,url,price,description,image_urls
GLAMIRAApple Watch® Unicu Set,https://www.glamira.com/glamira-apple-watchr-unicu-set.html,"$5,574.00",Stainless Steel / 14k Yellow Gold & White Sapphire,"https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/unicuset-t/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/unikalus-a-t/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/unikalus-b-t/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/unikalusset-t/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/zanyimbo-t/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/zeloso-t/alloycolour/yellow.jpg"
GLAMIRAApple Watch® Strap Unikalus - B,https://www.glamira.com/glamira-apple-watchr-strap-unikalus-b.html,"$3,353.00",Stainless Steel / 14k Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/unikalus-b-t/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAApple Watch® Unikalus Set,https://www.glamira.com/glamira-apple-watchr-unikalus-set.html,"$5,224.00",Stainless Steel / 14k Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/unikalusset-t/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAAirpods® Zanyimbo,https://www.glamira.com/glamira-airpodsr-zanyimbo.html,$779.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/zanyimbo-t/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAAirpods® Zeloso,https://www.glamira.com/glamira-airpodsr-zeloso.html,$606.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/zeloso-t/alloycolour/yellow.jpg
GLAMIRAApple Watch® Case Sterkte,https://www.glamira.com/glamira-apple-watchr-case-sterkte.html,"$3,433.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14132sterkte/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAAirpods® Escuchar,https://www.glamira.com/glamira-airpodsr-escuchar.html,$628.00,14K Yellow Gold with Black Rhodium,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14110escuchar/alloycolour/yellow.jpg
GLAMIRAAirpods® Giocoso,https://www.glamira.com/glamira-airpodsr-giocoso.html,$714.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14110giocoso/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAAirpods® Sijhawm,https://www.glamira.com/glamira-airpodsr-sijhawm.html,$646.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14110sijhawm/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAApple Watch® Case Faisin,https://www.glamira.com/glamira-apple-watchr-case-faisin.html,"$3,665.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14132faisin/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRABangle Danglam - A,https://www.glamira.com/glamira-bangle-danglam-a.html,"$2,327.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/danglam-b-t/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRABangle Siroter - A,https://www.glamira.com/glamira-bangle-siroter-a.html,"$1,705.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/siroter-a-t/alloycolour/yellow.jpg
GLAMIRAAirpods® Virtuaz,https://www.glamira.com/glamira-airpodsr-virtuaz.html,$531.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/virtuaz-t/alloycolour/yellow.jpg
GLAMIRAApple Watch® Accessory Ntango,https://www.glamira.com/glamira-apple-watchr-accessory-ntango.html,$416.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ntango-t/alloycolour/yellow.jpg
GLAMIRABangle Boldiness - A,https://www.glamira.com/glamira-bangle-boldiness-a.html,"$1,768.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/boldiness-a-t/alloycolour/yellow.jpg
GLAMIRAApple Watch® Accessory Domirezd,https://www.glamira.com/glamira-apple-watchr-accessory-domirezd.html,$780.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/domirezd-t/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/stone3/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAApple Watch® Strap Gateway - B,https://www.glamira.com/glamira-apple-watchr-strap-gateway-b.html,"$3,958.00",Stainless Steel / 14k Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gateway-b-t/alloycolour/yellow.jpg
GLAMIRAAirpods® Piacere,https://www.glamira.com/glamira-airpodsr-piacere.html,$677.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/piacere-t/alloycolour/yellow.jpg
GLAMIRAApple Watch® Accessory Nkarhi - B,https://www.glamira.com/glamira-apple-watchr-accessory-nkarhi-b.html,$455.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/nkarhi-b-t/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAApple Watch® Accessory Tacenda,https://www.glamira.com/glamira-apple-watchr-accessory-tacenda.html,$530.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/tacenda-t/alloycolour/yellow.jpg
GLAMIRAAirpods® Conamore,https://www.glamira.com/glamira-airpodsr-conamore.html,$721.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14110conamore/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAApple Watch® Strap Fuerza,https://www.glamira.com/glamira-apple-watchr-strap-fuerza.html,"$3,740.00",Stainless Steel / 14k Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/fuerza-t/alloycolour/yellow.jpg
GLAMIRAAirpods® Spanning,https://www.glamira.com/glamira-airpodsr-spanning.html,$393.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14110spanning/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAApple Watch® Strap Unicu - B,https://www.glamira.com/glamira-apple-watchr-strap-unicu-b.html,"$3,328.00",Stainless Steel / 14k Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/unicu-b-t/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAApple Watch® Case Rattail,https://www.glamira.com/glamira-apple-watchr-case-rattail.html,"$4,033.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14132rattail/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAAirpods® Mloog,https://www.glamira.com/glamira-airpodsr-mloog.html,$759.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14110mloog/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAAirpods® Finaledy,https://www.glamira.com/glamira-airpodsr-finaledy.html,$483.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14110finaledy/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAApple Watch® Accessory Gkturest,https://www.glamira.com/glamira-apple-watchr-accessory-gkturest.html,$350.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gkturest-t/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAAirpods® Serenad,https://www.glamira.com/glamira-airpodsr-serenad.html,$847.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/serenad-t/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAApple Watch® Case Bakarra,https://www.glamira.com/glamira-apple-watchr-case-bakarra.html,"$4,131.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14132bakarra/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAApple Watch® Case Tugevus,https://www.glamira.com/glamira-apple-watchr-case-tugevus.html,"$3,294.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14132tugevus/alloycolour/yellow.jpg
