name,url,price,description,image_urls
GLAMIRAEarring Adeen,https://www.glamira.com/glamira-earring-adeen.html,$355.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/adeen/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRAEarring Hoku,https://www.glamira.com/glamira-earring-hoku.html,$475.00,14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/hoku1/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRAEarring Ruchba,https://www.glamira.com/glamira-earring-ruchba.html,$565.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ruchba-u1/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Keid,https://www.glamira.com/glamira-earring-keid.html,$478.00,14K Yellow Gold & Lab Grown Diamond & Rose Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/keid2/diamond/lab-grown-diamond_AAA/alloycolour/yellow/pearl/red_pearl.jpg
GLAMIRABracelet Askella,https://www.glamira.com/glamira-bracelet-askella.html,$425.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/askella1/alloycolour/red.jpg
GLAMIRABracelet Regulus,https://www.glamira.com/glamira-bracelet-regulus.html,$357.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/6664regulus/alloycolour/yellow.jpg
GLAMIRANecklace Alnilam,https://www.glamira.com/glamira-necklace-alnilam.html,$585.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/alnilam/alloycolour/yellow.jpg
GLAMIRABracelet Tegmine,https://www.glamira.com/glamira-bracelet-tegmine.html,"$1,554.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20344-tegmine-new/alloycolour/yellow.jpg
GLAMIRARing Corcaroli,https://www.glamira.com/glamira-ring-corcaroli.html,"$1,368.00",14K Rose Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/corcaroli-u/diamond/lab-grown-diamond_AAA/alloycolour/red.jpg
GLAMIRARing Grumium Illusion,https://www.glamira.com/glamira-ring-grumium-illusion.html,"$1,804.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/grumium-illusion/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRABracelet Leporis,https://www.glamira.com/glamira-bracelet-leporis.html,"$1,773.00",14K White & Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/leporis-u1new/alloycolour/white_yellow.jpg
GLAMIRARing Merga,https://www.glamira.com/glamira-ring-merga.html,$568.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/merga-u/alloycolour/white.jpg
GLAMIRAEarring Juxta,https://www.glamira.com/glamira-earring-juxta.html,$296.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/juxta1/alloycolour/yellow.jpg
GLAMIRAEarring Addey,https://www.glamira.com/glamira-earring-addey.html,$602.00,14K Yellow & White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/addey/alloycolour/yellow_white.jpg
GLAMIRAEarring Cepheus,https://www.glamira.com/glamira-earring-cepheus.html,$442.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/cepheus/alloycolour/yellow.jpg
GLAMIRABracelet Scheat,https://www.glamira.com/glamira-bracelet-scheat.html,"$1,634.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20344-scheat/alloycolour/yellow.jpg
GLAMIRANecklace Sualin,https://www.glamira.com/glamira-necklace-sualin.html,"$1,487.00",14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/sualin-u/alloycolour/red.jpg
GLAMIRAEarring Mahasim,https://www.glamira.com/glamira-earring-mahasim.html,$275.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/mahasim/alloycolour/red.jpg
