name,url,price,description,image_urls
GLAMIRARing Theotita,https://www.glamira.com/glamira-ring-theotita.html,$537.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/theotita1/alloycolour/yellow.jpg
GLAMIRAEarring Elvenus,https://www.glamira.com/glamira-earring-elvenus.html,$561.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/elvenus-u12/alloycolour/yellow.jpg
GLAMIRAEarring Shetica,https://www.glamira.com/glamira-earring-shetica.html,$670.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/shetica/alloycolour/yellow.jpg
GLAMIRAEarring Redamences,https://www.glamira.com/glamira-earring-redamences.html,$538.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/redamency-u1/alloycolour/yellow.jpg
GLAMIRARing Epikrastar,https://www.glamira.com/glamira-ring-epikrastar.html,"$1,128.00",14K Yellow Gold & Black Diamond & Black Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/epikrastar/diamond/blackdiamond_AAA/stone2/blackdiamond_AAA/alloycolour/yellow/pearl/black_pearl.jpg
GLAMIRAEarring Venuen,https://www.glamira.com/glamira-earring-venuen.html,$317.00,14K White & Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/venuen-c/alloycolour/white_red.jpg
GLAMIRAEarring Ascuotere,https://www.glamira.com/glamira-earring-ascuotere.html,$648.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ascuotere-u/alloycolour/yellow.jpg
GLAMIRAEarring Synartese,https://www.glamira.com/glamira-earring-synartese.html,$659.00,14K Yellow Gold & Ruby,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/synartese/diamond/ruby_AAA/alloycolour/yellow.jpg
GLAMIRANecklace Stellacorta,https://www.glamira.com/glamira-necklace-stellacorta.html,$636.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/stellacorta-u1/alloycolour/white.jpg
GLAMIRAEarring Gynaika,https://www.glamira.com/glamira-earring-gynaika.html,$517.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gynaika-u/alloycolour/red.jpg
GLAMIRAEarring Kalokairia,https://www.glamira.com/glamira-earring-kalokairia.html,$487.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/kalokairia-u/alloycolour/yellow.jpg
GLAMIRAEarring Kardia,https://www.glamira.com/glamira-earring-kardia.html,$514.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/kardia-u/alloycolour/yellow.jpg
GLAMIRAEarring Scoppiare,https://www.glamira.com/glamira-earring-scoppiare.html,$655.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/scoppiare-u1/alloycolour/yellow.jpg
GLAMIRABracelet Rumo,https://www.glamira.com/glamira-bracelet-rumo.html,$455.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/rumo-u/alloycolour/red.jpg
GLAMIRAEarring Kyklo,https://www.glamira.com/glamira-earring-kyklo.html,$489.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/kyklo11/alloycolour/yellow.jpg
GLAMIRAEarring Chorta,https://www.glamira.com/glamira-earring-chorta.html,$645.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/chorta/alloycolour/yellow.jpg
GLAMIRABracelet Okeanides,https://www.glamira.com/glamira-bracelet-okeanides.html,"$1,382.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/okeanides1-new/alloycolour/yellow/accent/black.jpg
GLAMIRABracelet Persempre,https://www.glamira.com/glamira-bracelet-persempre.html,$416.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/persempre1/alloycolour/red.jpg
GLAMIRABracelet Aplos,https://www.glamira.com/glamira-bracelet-aplos.html,$664.00,14K White & Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/aplos1/alloycolour/white_yellow.jpg
GLAMIRABracelet Stellaclassica,https://www.glamira.com/glamira-bracelet-stellaclassica.html,"$1,737.00",14K Yellow & White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/stellaclassica/alloycolour/yellow_white.jpg
GLAMIRABracelet Bintang,https://www.glamira.com/glamira-bracelet-bintang.html,"$1,644.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20344-bintang/alloycolour/yellow.jpg
GLAMIRAEarring Asse Stellare,https://www.glamira.com/glamira-earring-asse-stellare.html,$442.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/asse-stellare-u/alloycolour/red.jpg
GLAMIRABracelet Incredibile,https://www.glamira.com/glamira-bracelet-incredibile.html,$372.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/incredibile1/alloycolour/white.jpg
GLAMIRAEarring Phosphorus,https://www.glamira.com/glamira-earring-phosphorus.html,$510.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/phosphorus/alloycolour/yellow/accent/black.jpg
GLAMIRARing Galiot,https://www.glamira.com/glamira-ring-galiot.html,"$1,544.00",14K White Gold & Yellow Diamond & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/galiot-u/diamond/yellowdiamond_A/stone2/diamond-sapphire_AAA/alloycolour/white.jpg
GLAMIRARing Quince,https://www.glamira.com/glamira-ring-quince.html,$874.00,14K White Gold & Lab Grown Diamond & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/quince-u/diamond/lab-grown-diamond_AAA/alloycolour/white/pearl/white_pearl.jpg
GLAMIRAEarring Proino,https://www.glamira.com/glamira-earring-proino.html,$310.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/proino-u1/alloycolour/yellow.jpg
GLAMIRAEarring Basorexia,https://www.glamira.com/glamira-earring-basorexia.html,$487.00,14K White & Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/basorexia-u1/alloycolour/white_yellow.jpg
GLAMIRANecklace Eftychia,https://www.glamira.com/glamira-necklace-eftychia.html,$605.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/eftychia-u1/alloycolour/red.jpg
GLAMIRAEarring Everardo,https://www.glamira.com/glamira-earring-everardo.html,$577.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/everardo2/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
