name,url,price,description,image_urls
GLAMIRARing Draco,https://www.glamira.com/glamira-ring-draco.html,"$1,048.00",14K Rose Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/draco-u/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/red.jpg
GLAMIRABracelet Landsat,https://www.glamira.com/glamira-bracelet-landsat.html,$368.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/landsat/alloycolour/red.jpg
GLAMIRAEarring Gezellig,https://www.glamira.com/glamira-earring-gezellig.html,$450.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gezellig-u11/alloycolour/yellow.jpg
GLAMIRAEarring Fargin,https://www.glamira.com/glamira-earring-fargin.html,$517.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/fargin-u/alloycolour/red.jpg
GLAMIRAEarring Calypso,https://www.glamira.com/glamira-earring-calypso.html,$603.00,14K Rose & White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/calypso-u/alloycolour/red_white.jpg
GLAMIRAEarring Breksta,https://www.glamira.com/glamira-earring-breksta.html,$524.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/breksta-u/alloycolour/yellow.jpg
GLAMIRAEarring Lightnova,https://www.glamira.com/glamira-earring-lightnova.html,$730.00,14K Yellow & White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/lightnova-u/alloycolour/yellow_white.jpg
GLAMIRABracelet Constellation,https://www.glamira.com/glamira-bracelet-constellation.html,$518.00,14K Yellow & White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/constellation-u1/alloycolour/yellow_white.jpg
GLAMIRAEarring Vagary,https://www.glamira.com/glamira-earring-vagary.html,$644.00,14K White & Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/vagary1/alloycolour/white_yellow.jpg
GLAMIRABracelet Praesepe,https://www.glamira.com/glamira-bracelet-praesepe.html,"$1,717.00",14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20344-praesepe/alloycolour/red.jpg
GLAMIRAEarring Teapot,https://www.glamira.com/glamira-earring-teapot.html,$339.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/teapot-u/alloycolour/yellow.jpg
GLAMIRAEarring Novastar,https://www.glamira.com/glamira-earring-novastar.html,$761.00,14K Yellow & White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/novastar-d/alloycolour/yellow_white.jpg
GLAMIRABracelet Lacerta,https://www.glamira.com/glamira-bracelet-lacerta.html,"$1,877.00",14K Yellow & White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/lacerta-dnew/alloycolour/yellow_white.jpg
GLAMIRARing Extrasolar,https://www.glamira.com/glamira-ring-extrasolar.html,$955.00,14K White Gold & Lab Grown Diamond & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/extrasolar1/diamond/lab-grown-diamond_AAA/alloycolour/white/pearl/white_pearl.jpg
