name,url,price,description,image_urls
GLAMIRAEarring Moors,https://www.glamira.com/glamira-earring-moors.html,"$2,155.00",14K Rose & White Gold & Moissanite,"https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/moors-t2/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/red_white.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/nabolcat-t/diamond/greendiamond_A/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/naidirem-t/diamond/emerald_AAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/nakawara-t/diamond/emerald_AAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/nikon-t1/diamond/greendiamond_A/alloycolour/white/accent/white.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/nubian-t/diamond/emerald_AAA/alloycolour/white_red.jpg"
GLAMIRANecklace Alcaraz,https://www.glamira.com/glamira-necklace-alcaraz.html,$631.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/alcaraz-p/diamond/diamond-Brillant_AAA/alloycolour/yellow/accent/multicoloured.jpg
GLAMIRAEarring Antonucci,https://www.glamira.com/glamira-earring-antonucci.html,$482.00,14K Yellow Gold & Emerald,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/antonucci-e/diamond/emerald_AAA/alloycolour/yellow.jpg
GLAMIRANecklace Falke,https://www.glamira.com/glamira-necklace-falke.html,$559.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/falke-t/alloycolour/white/accent/white.jpg
GLAMIRANecklace Enno,https://www.glamira.com/glamira-necklace-enno.html,$613.00,14K White Gold & Rhodolite Garnet,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/enno-t/diamond/rhodolite_AAA/alloycolour/white.jpg
GLAMIRABracelet Vimen,https://www.glamira.com/glamira-bracelet-vimen.html,$552.00,14K White Gold & Green Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/vimen-t/diamond/greendiamond_A/alloycolour/white-585.jpg
GLAMIRABrooch Jarad,https://www.glamira.com/glamira-brooch-jarad.html,$797.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/jarad-b/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRAPendant Viril,https://www.glamira.com/glamira-pendant-viril.html,$587.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/viril-p/alloycolour/white/accent/multicoloured.jpg
GLAMIRAEarring Boltonia,https://www.glamira.com/glamira-earring-boltonia.html,$892.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/boltonia-t/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRAEarring Ernesti,https://www.glamira.com/glamira-earring-ernesti.html,$863.00,14K White Gold & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ernesti-t/diamond/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRAEarring Granum,https://www.glamira.com/glamira-earring-granum.html,$484.00,14K Rose & White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/granum-t/diamond/diamond-Brillant_AAA/alloycolour/red_white.jpg
GLAMIRARing Manarola,https://www.glamira.com/glamira-ring-manarola.html,$746.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/manarola-t/alloycolour/red.jpg
GLAMIRABracelet Cerezo,https://www.glamira.com/glamira-bracelet-cerezo.html,$952.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/cerezo-b/diamond/diamond-Brillant_AAA/alloycolour/yellow/accent/darkblue.jpg
