name,url,price,description,image_urls
GLAMIRAEarring Amestecat,https://www.glamira.com/glamira-earring-amestecat.html,$799.00,14K Yellow Gold & Ruby & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/amestecat-t/diamond/ruby_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/bead/turquoise.jpg
GLAMIRAEarring Uhie - A,https://www.glamira.com/glamira-earring-uhie-a.html,"$1,172.00",14K Yellow Gold & Ruby & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16265uhie-a/diamond/ruby_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/bead/turquoise.jpg
GLAMIRAEarring Uhie - B,https://www.glamira.com/glamira-earring-uhie-b.html,"$1,172.00",14K Yellow Gold & Ruby & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16265uhie-b/diamond/ruby_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/bead/turquoise.jpg
GLAMIRANecklace Kilele,https://www.glamira.com/glamira-necklace-kilele.html,$563.00,14K Yellow Gold & Ruby,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16248kilele/diamond/ruby_AAA/alloycolour/yellow/bead/turquoise.jpg
GLAMIRANecklace Godin,https://www.glamira.com/glamira-necklace-godin.html,$518.00,14K Yellow Gold & Ruby,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16248godin/diamond/ruby_AAA/alloycolour/yellow/accent/darkindianred/bead/turquoise.jpg
GLAMIRAEarring Acireale - A,https://www.glamira.com/glamira-earring-acireale-a.html,$756.00,14K Yellow Gold / Ruby & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16248acireale-a/diamond/ruby_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/bead/turquoise.jpg
GLAMIRAEarring Acireale - B,https://www.glamira.com/glamira-earring-acireale-b.html,$743.00,14K Yellow Gold / Ruby & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16248acireale-b/diamond/ruby_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/bead/turquoise.jpg
GLAMIRAEarring Acireale - SET,https://www.glamira.com/glamira-earring-acireale-set.html,$756.00,14K Yellow Gold / Ruby & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16248acireale-set/diamond/ruby_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/bead/turquoise.jpg
GLAMIRAEarring Arezzo,https://www.glamira.com/glamira-earring-arezzo.html,$996.00,14K Yellow Gold & Ruby & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16248arezzo/diamond/ruby_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/bead/turquoise.jpg
GLAMIRAEarring Bharavase,https://www.glamira.com/glamira-earring-bharavase.html,$563.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16248bharavase/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/darkindianred/bead/turquoise.jpg
