name,url,price,description,image_urls
Wedding Ring Classic Spring 4 mm,https://www.glamira.com/wedding-ring-classic-spring-4-mm.html,"$2,019.00",14K White Gold,"https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/classic-spring/alloycolour/white/width/w4/profile/prA.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/classic-spring/alloycolour/white/width/w6/profile/prA.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17582osie/womenstone/lab-grown-diamond_AAA/alloycolour/white.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17582rennes/womenstone/lab-grown-diamond_AAA/alloycolour/white.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17563-rodhou1/womenstone/diamond-Swarovsky_AAAAA/alloycolour/white.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/nontraditional/womenstone/lab-grown-diamond_AAA/alloycolour/white.jpg"
Wedding Ring Classic Spring 6 mm,https://www.glamira.com/wedding-ring-classic-spring-6-mm.html,"$2,852.00",14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/classic-spring/alloycolour/white/width/w6/profile/prA.jpg
Wedding Ring Osie Pair,https://www.glamira.com/osie-pair.html,"$1,718.00",14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17582osie/womenstone/lab-grown-diamond_AAA/alloycolour/white.jpg
Wedding Ring Rennes Pair,https://www.glamira.com/rennes-pair.html,"$2,206.00",14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17582rennes/womenstone/lab-grown-diamond_AAA/alloycolour/white.jpg
Wedding Ring Rodhou Pair,https://www.glamira.com/rodhou-pair.html,"$1,910.00",14K White Gold & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17563-rodhou1/womenstone/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
Wedding Ring Nontraditional Pair,https://www.glamira.com/nontraditional-pair.html,"$1,213.00",14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/nontraditional/womenstone/lab-grown-diamond_AAA/alloycolour/white.jpg
Wedding Ring Confident Glow 6 mm,https://www.glamira.com/confident-glow-6-mm.html,"$2,310.00",14K White Gold / Zirconia,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gwd-h10026-n/womenstone/diamond-zirconia_AAAAA/alloycolour/white/wood/carbonline/width/w6/profile/prA.jpg
Wedding Ring Romantic Shape 4 mm,https://www.glamira.com/romantic-shape-4-mm.html,"$1,296.00",14K White Gold / Zirconia,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gwd-n1000/womenstone/diamond-zirconia_AAAAA/alloycolour/white/width/w4/profile/prA/surface/polished_icematte.jpg
Wedding Ring Alluring Duty 4 mm,https://www.glamira.com/alluring-duty-4-mm.html,"$1,189.00",14K White Gold / Zirconia,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/GWD-S4023/womenstone/diamond-zirconia_AAAAA/alloycolour/white/width/w4/profile/prB/surface/polished_verticalline.jpg
Wedding Ring Unique Start 4 mm,https://www.glamira.com/unique-start-4-mm.html,"$1,329.00",14K White Gold / Zirconia,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gwd-h14319070/womenstone/diamond-zirconia_AAAAA/alloycolour/white/width/w4/profile/prA.jpg
Wedding Ring Pretty Meeting 6 mm,https://www.glamira.com/pretty-meeting-6-mm.html,"$2,339.00",14K Yellow Gold / Zirconia,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11611pretty-meeting/womenstone/diamond-zirconia_AAAAA/alloycolour/yellow/accent/black/width/w6/profile/prA.jpg
Wedding Ring Passionate Waiting 6 mm,https://www.glamira.com/passionate-waiting-6-mm.html,"$1,925.00",14K White & Rose Gold / Zirconia,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gwd-n1038/womenstone/diamond-zirconia_AAAAA/alloycolour/white_red/width/w6/profile/prA/surface/polished_icematte.jpg
