name,url,price,description,image_urls
GLAMIRASet Quinny,https://www.glamira.com/glamira-set-quinny.html,"$17,274.00",14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/set-18/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRASet Alyn,https://www.glamira.com/glamira-set-alyn.html,"$16,654.00",14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/set-17/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRASet Kiowa,https://www.glamira.com/glamira-set-kiowa.html,"$16,883.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/set-14/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRASet Werra,https://www.glamira.com/glamira-set-werra.html,"$16,656.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/set-5/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRASet Ely,https://www.glamira.com/glamira-set-ely.html,"$15,548.00",14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/set-2/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRASet Neisse,https://www.glamira.com/glamira-set-neisse.html,"$16,965.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/set-9/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRASet Perry,https://www.glamira.com/glamira-set-perry.html,"$19,865.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/set-20/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRASet Eden,https://www.glamira.com/glamira-set-eden.html,"$14,502.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/set-1/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRASet Danube,https://www.glamira.com/glamira-set-danube.html,"$27,517.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/set-21/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRASet Liza,https://www.glamira.com/glamira-set-liza.html,"$11,099.00",14K White Gold & Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/set-12/diamond/sapphire_AAA/alloycolour/white.jpg
GLAMIRASet Thames,https://www.glamira.com/glamira-set-thames.html,"$14,165.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/set-15/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRASet Vils,https://www.glamira.com/glamira-set-vils.html,"$17,070.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/set-3/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRASet Thelasar,https://www.glamira.com/glamira-set-thelasar.html,"$13,625.00",14K Yellow Gold & Emerald,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/set-19/diamond/emerald_AAA/alloycolour/yellow.jpg
GLAMIRASet Ellen,https://www.glamira.com/glamira-set-ellen.html,"$17,879.00",14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/set-11/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRASet Elbe,https://www.glamira.com/glamira-set-elbe.html,"$18,454.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/set-7/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRASet Moselle,https://www.glamira.com/glamira-set-moselle.html,"$25,310.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/set-8/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRASet Rhine,https://www.glamira.com/glamira-set-rhine.html,"$17,003.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/set-4/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRASet Mersey,https://www.glamira.com/glamira-set-mersey.html,"$21,531.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/set-10/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRASet Silvies,https://www.glamira.com/glamira-set-silvies.html,"$18,776.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/set-13/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRASet Wye,https://www.glamira.com/glamira-set-wye.html,"$15,509.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/set-16/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
