name,url,price,description,image_urls
Women's Ring Infinite Anticipation,https://www.glamira.com/women-s-ring-infinite-anticipation.html,$707.00,14K White Gold & Zirconia,https://cdn-media.glamira.com/media/product/newgeneration/view/2/sku/gwd-h1037-WOMEN/womenstone/diamond-zirconia_AAAAA/stone2/diamond-zirconia_AAAAA/alloycolour/white.jpg
Women's Ring Winsome Aura,https://www.glamira.com/women-s-ring-winsome-aura.html,$453.00,14K Rose Gold & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/2/sku/winsome-aura-WOMEN/womenstone/diamond-Swarovsky_AAAAA/alloycolour/red.jpg
Women's Ring Pure Love 3 mm,https://www.glamira.com/women-s-ring-pure-love-3-mm.html,$435.00,14K White Gold / Zirconia,https://cdn-media.glamira.com/media/product/newgeneration/view/2/sku/GWD-S4008-WOMEN/womenstone/diamond-zirconia_AAAAA/alloycolour/white/width/w3/profile/prB/surface/polished_verticalline.jpg
Women's Ring Classic Choice 3 mm,https://www.glamira.com/women-s-ring-classic-choice-3-mm.html,$615.00,14K White Gold / Zirconia,https://cdn-media.glamira.com/media/product/newgeneration/view/2/sku/GWD12650-WOMEN/womenstone/diamond-zirconia_AAAAA/alloycolour/white/width/w3/profile/prB/surface/verticalline.jpg
Women's Ring Sense Muse 4 mm,https://www.glamira.com/women-s-ring-sense-muse-4-mm.html,$611.00,14K White & Rose Gold / Zirconia,https://cdn-media.glamira.com/media/product/newgeneration/view/2/sku/GWD-M1038U-WOMEN/womenstone/diamond-zirconia_AAAAA/alloycolour/white_red/width/w4/profile/prB/surface/polished_icematte.jpg
Women's Ring Romantic Trust 4 mm,https://www.glamira.com/women-s-ring-romantic-trust-4-mm.html,$620.00,14K White Gold / Zirconia,https://cdn-media.glamira.com/media/product/newgeneration/view/2/sku/gwd-n1083-WOMEN/womenstone/diamond-zirconia_AAAAA/alloycolour/white/width/w4/profile/prA/surface/polished_icematte.jpg
Women's Ring Classic Search 4mm,https://www.glamira.com/women-s-ring-classic-search-4mm.html,$689.00,14K White Gold / Zirconia,https://cdn-media.glamira.com/media/product/newgeneration/view/2/sku/gwd18580-u-WOMEN/womenstone/diamond-zirconia_AAAAA/alloycolour/white/width/w4/profile/prB/surface/polished.jpg
Women's Ring Classic Choice 2.5 mm,https://www.glamira.com/women-s-ring-classic-choice-2-5-mm.html,$926.00,14K White Gold / Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/2/sku/GWD12650-WOMEN/womenstone/diamond-Brillant_AAA/alloycolour/white/width/w2/profile/prB/surface/sandy.jpg
Women's Ring Peaceful Twinkle 5 mm,https://www.glamira.com/women-s-ring-peaceful-twinkle-5-mm.html,"$1,026.00",14K White Gold / Zirconia,https://cdn-media.glamira.com/media/product/newgeneration/view/2/sku/gwd-h10059-u1-WOMEN/womenstone/diamond-zirconia_AAAAA/alloycolour/white/wood/oakbronce/width/w5/profile/prA.jpg
Women's Ring Classic Choice 5 mm,https://www.glamira.com/women-s-ring-classic-choice-5-mm.html,"$1,219.00",14K White Gold / Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/2/sku/GWD12650-WOMEN/womenstone/diamond-Brillant_AAA/alloycolour/white/width/w5/profile/prB/surface/horizantly.jpg
Women's Ring Bright Nature 2 mm,https://www.glamira.com/women-s-ring-bright-nature-2-mm.html,$410.00,14K White Gold / Zirconia,https://cdn-media.glamira.com/media/product/newgeneration/view/2/sku/GWD-C191004-U-1-WOMEN/womenstone/diamond-zirconia_AAAAA/alloycolour/white/width/w2/profile/prA/surface/polished.jpg
Women's Ring Alluring Meeting,https://www.glamira.com/women-s-ring-alluring-meeting.html,$580.00,14K White Gold / Zirconia,https://cdn-media.glamira.com/media/product/newgeneration/view/2/sku/alluring-meeting-WOMEN/womenstone/diamond-zirconia_AAAAA/alloycolour/white/width/w4.jpg
Women's Ring Passionate Waiting 4 mm,https://www.glamira.com/women-s-ring-passionate-waiting-4-mm.html,$673.00,14K White & Rose Gold / Zirconia,https://cdn-media.glamira.com/media/product/newgeneration/view/2/sku/gwd-n1038-WOMEN/womenstone/diamond-zirconia_AAAAA/alloycolour/white_red/width/w4/profile/prA/surface/polished_icematte.jpg
