name,url,price,description,image_urls
GLAMIRABracelet Gadget,https://www.glamira.com/glamira-bracelet-gadget.html,$590.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gadget-y/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRABangle Jaunty,https://www.glamira.com/glamira-bangle-jaunty.html,"$2,334.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/jaunty-y/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRABangle Label,https://www.glamira.com/glamira-bangle-label.html,"$2,068.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/label-y/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRABracelet Philotimo,https://www.glamira.com/glamira-bracelet-philotimo.html,$902.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/philotimo-y/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/stone3/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRABracelet Poppins,https://www.glamira.com/glamira-bracelet-poppins.html,$616.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/poppins-y/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRABracelet Renao,https://www.glamira.com/glamira-bracelet-renao.html,$511.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/renao-y/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRABracelet Represent,https://www.glamira.com/glamira-bracelet-represent.html,$601.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/represent-y/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRABangle Dyarvin,https://www.glamira.com/glamira-bangle-dyarvin.html,"$2,461.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14283dyarvin/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRABangle Furlall,https://www.glamira.com/glamira-bangle-furlall.html,"$2,215.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14283furlall/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRABangle Gungwa,https://www.glamira.com/glamira-bangle-gungwa.html,"$2,798.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14283gungwa/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRABracelet Loreane,https://www.glamira.com/glamira-bracelet-loreane.html,"$2,511.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14283loreane/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
