name,url,price,description,image_urls
GLAMIRAEarring Hanji,https://www.glamira.com/glamira-earring-hanji.html,"$1,034.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/hanji-y/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Odor,https://www.glamira.com/glamira-earring-odor.html,$903.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/odor-y/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Stapler,https://www.glamira.com/glamira-earring-stapler.html,"$1,061.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/stapler-y/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Mathicano,https://www.glamira.com/glamira-earring-mathicano.html,$923.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/mathicano-y/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Mayenzo,https://www.glamira.com/glamira-earring-mayenzo.html,"$1,992.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/mayenzo-y/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Meghr,https://www.glamira.com/glamira-earring-meghr.html,$836.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/meghr-y/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Cachet,https://www.glamira.com/glamira-earring-cachet.html,$780.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/cachet-y/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Charmaway,https://www.glamira.com/glamira-earring-charmaway.html,$825.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/charmaway-y/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Track,https://www.glamira.com/glamira-earring-track.html,$900.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/track-y/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Selby,https://www.glamira.com/glamira-earring-selby.html,$977.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/selby-y/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Indication,https://www.glamira.com/glamira-earring-indication.html,"$1,033.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/indication-y/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Suadna,https://www.glamira.com/glamira-earring-suadna.html,$821.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/suadna-y/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Uthades,https://www.glamira.com/glamira-earring-uthades.html,$706.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/uthades-y/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Mold,https://www.glamira.com/glamira-earring-mold.html,$789.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/mold-y/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Property,https://www.glamira.com/glamira-earring-property.html,"$1,080.00",14K Yellow Gold & White Sapphire & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/property-y/diamond/diamond-sapphire_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/yellow.jpg
GLAMIRAEarring Sealsx,https://www.glamira.com/glamira-earring-sealsx.html,$723.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/sealsx-y/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Stigma,https://www.glamira.com/glamira-earring-stigma.html,$794.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/stigma-y/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Kuwufanale,https://www.glamira.com/glamira-earring-kuwufanale.html,$885.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14283kuwufanale/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/stone3/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Madu,https://www.glamira.com/glamira-earring-madu.html,$718.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14283madu/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Nekaltas,https://www.glamira.com/glamira-earring-nekaltas.html,$700.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14283nekaltas/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Skule,https://www.glamira.com/glamira-earring-skule.html,$512.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14283skule/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Masticate,https://www.glamira.com/glamira-earring-masticate.html,$804.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14283masticate/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Vidarain,https://www.glamira.com/glamira-earring-vidarain.html,$377.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14283vidarain/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Niewinny - A,https://www.glamira.com/glamira-earring-niewinny-a.html,$934.00,14K Yellow Gold / White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14283niewinny-a1/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/stone3/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Niewinny - B,https://www.glamira.com/glamira-earring-niewinny-b.html,$953.00,14K Yellow Gold / White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14283niewinny-b/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Niewinny - SET,https://www.glamira.com/glamira-earring-niewinny-set.html,"$1,238.00",14K Yellow Gold / White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14283niewinny-set/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/stone3/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Oqean,https://www.glamira.com/glamira-earring-oqean.html,"$1,055.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14283oqean/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/stone3/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Jenu,https://www.glamira.com/glamira-earring-jenu.html,$677.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14283jenu/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Mielo,https://www.glamira.com/glamira-earring-mielo.html,$467.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14283mielo/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Muisti,https://www.glamira.com/glamira-earring-muisti.html,$717.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14283muisti/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Runover,https://www.glamira.com/glamira-earring-runover.html,$545.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14283runover/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Zimbu,https://www.glamira.com/glamira-earring-zimbu.html,$833.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14283zimbu/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
