name,url,price,description,image_urls
GLAMIRARing Curlgold,https://www.glamira.com/glamira-ring-curlgold.html,"$1,020.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14283curlgold/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Koindu,https://www.glamira.com/glamira-ring-koindu.html,"$1,047.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19024koindu/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Kotri,https://www.glamira.com/glamira-ring-kotri.html,$950.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19024kotri/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Kuthanda,https://www.glamira.com/glamira-ring-kuthanda.html,$824.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19024kuthanda/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Ljubimte,https://www.glamira.com/glamira-ring-ljubimte.html,"$1,058.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19024ljubimte/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Macaroes,https://www.glamira.com/glamira-ring-macaroes.html,$796.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19024macaroes/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Magburaka,https://www.glamira.com/glamira-ring-magburaka.html,$862.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19024magburaka/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Mascarp,https://www.glamira.com/glamira-ring-mascarp.html,"$1,042.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19100mascarp/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Merlot,https://www.glamira.com/glamira-ring-merlot.html,$785.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19100merlot/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Mezanmi,https://www.glamira.com/glamira-ring-mezanmi.html,$522.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19100mezanmi/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Mianwali,https://www.glamira.com/glamira-ring-mianwali.html,"$1,033.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19100mianwali/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
