name,url,price,description,image_urls
GLAMIRARing Campania,https://www.glamira.com/glamira-ring-campania.html,$425.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14272ysra/alloycolour/yellow.jpg
GLAMIRARing Lutande,https://www.glamira.com/glamira-ring-lutande.html,$323.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19655-lutande/alloycolour/yellow.jpg
GLAMIRAEarring Thorin,https://www.glamira.com/glamira-earring-thorin.html,$419.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/thorin-y/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRANecklace Aoga,https://www.glamira.com/glamira-necklace-aoga.html,$889.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14272aoga/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRANecklace Eiliv,https://www.glamira.com/glamira-necklace-eiliv.html,$989.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14272eiliv/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Choker Necklace Xorita,https://www.glamira.com/glamira-necklace-xorita.html,$727.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/xorita-y/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRABracelet Gaiety,https://www.glamira.com/glamira-bracelet-gaiety.html,$786.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14272gaiety/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRALip Cuff Geair,https://www.glamira.com/glamira-lip-cuff-geair.html,$490.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14272geair/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRABracelet Gird,https://www.glamira.com/glamira-bracelet-gird.html,"$3,310.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14272gird/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRABracelet Bighero,https://www.glamira.com/glamira-bracelet-bighero.html,"$1,402.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14272bighero/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRABracelet Discretion,https://www.glamira.com/glamira-bracelet-discretion.html,$549.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14272discretion/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRABracelet Tagticket,https://www.glamira.com/glamira-bracelet-tagticket.html,$637.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14272tagticket/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRABracelet Arvora,https://www.glamira.com/glamira-bracelet-arvora.html,$435.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14272arvora/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
