name,url,price,description,image_urls
GLAMIRABangle Vreugdent Mother,https://www.glamira.com/glamira-bangle-vreugdent-mother.html,$926.00,14K Yellow & White Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15944vreugdent-mother/diamond/diamond-sapphire_AAA/alloycolour/yellow_white.jpg
GLAMIRAEarring Betrouwen Mother,https://www.glamira.com/glamira-earring-betrouwen-mother.html,$463.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/betrouwen-mother-y/alloycolour/yellow/accent/silver_glitter.jpg
GLAMIRABracelet Euphorbia Mother,https://www.glamira.com/glamira-bracelet-euphorbia-mother.html,$876.00,14K Yellow Gold / White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/euphorbia-mother-y/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRABangle Gigantea Mother,https://www.glamira.com/glamira-bangle-gigantea-mother.html,"$1,054.00",14K Yellow Gold / White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gigantea-mother-y/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Indobya Mother,https://www.glamira.com/glamira-earring-indobya-mother.html,$877.00,14K Yellow Gold / White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/indobya-mother-y/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Kalanchoe Mother,https://www.glamira.com/glamira-earring-kalanchoe-mother.html,$652.00,14K Yellow Gold / White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/kalanchoe-mother-y/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAPendant Gippeum Mother,https://www.glamira.com/glamira-pendant-gippeum-mother.html,$474.00,14K Yellow & White Gold / White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15944gippeum-mother/diamond/diamond-sapphire_AAA/alloycolour/yellow_white.jpg
GLAMIRABangle Lycaste Mother,https://www.glamira.com/glamira-bangle-lycaste-mother.html,"$1,216.00",14K Yellow Gold / White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/lycaste-mother-y/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAPendant Maculatus Mother,https://www.glamira.com/glamira-pendant-maculatus-mother.html,$532.00,14K Yellow Gold / White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/maculatus-mother-y/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRABangle Miltonia Mother,https://www.glamira.com/glamira-bangle-miltonia-mother.html,$981.00,14K Yellow Gold / Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/miltonia-mother-y/diamond/diamond-Swarovsky_AAAAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/yellow.jpg
